Journal Acronym,Alt Acronym 1,Alt Acronym 2,Journal Acronym2
TRPS,TRPS,TRPS,TRPS
TBED,TBED,TBED,TBED
TRAA,TRAA,TRAA,TRAA
TRF,TRF,TRF,TRF
TME,TME,TME,TME
TID,TID,TID,TID
TRI,TRI,TRI,TRI
TRE,TRE,TRE,TRE
TMI,TMI,TMI,TMI
UOG,UOG,UOG,UOG
UBAU,2488,2488,UBAU
VIPR,2035,2035,VIPR
VAA,VAA,VAA,VAA
VCO,VCO,VCO,VCO
VCP,VCP,VCP,VCP
VDE,VDE,VDE,VDE
VMS3,VMS3,VMS3,VMS3
VOP,VOP,VOP,VOP
VRU,VRU,VRU,VRU
VSU,VSU,VSU,VSU
VAR,VAR,VAR,VAR
VOX,VOX,VOX,VOX
WEJ,WEJ,WEJ,WEJ
WRCR,WRCR,WRCR,WRCR
WEA,WEA,WEA,WEA
WBM,WBM,WBM,WBM
WRE,WRE,WRE,WRE
WMON,WMON,WMON,WMON
WSB,WSB4,WSB4,WSB
WCC,WCC,WCC,WCC
WCS,WCS,WCS,WCS
WCMS,WCMS,WCMS,WCMS
WICS,WICS,WICS,WICS
WIDM,WIDM,WIDM,WIDM
WDEV,WDEV,WDEV,WDEV
WENE,WENE,WENE,WENE
WRNA,WRNA,WRNA,WRNA
WSBM,WSBM,WSBM,WSBM
WAT2,WAT2,WAT2,WAT2
WILM,WILM,WILM,WILM
WE,WE,WE,WE
WCM,WCM2,WCM2,WCM
WNAN,WNAN,WNAN,WNAN
WHE,WHE2,WHE2,WHE
WUSA,WUSA,WUSA,WUSA
WOBA,WOBA,WOBA,WOBA
WENG,WENG,WENG,WENG
WMH3,WMH3,WMH3,WMH3
WOW3,WOW,WOW,WOW3
WOT,WOT,WOT,WOT
WPS,WPS,WPS,WPS
WSA2,WSA2,WSA2,WSA2
WVN,WVN,WVN,WVN
WRR,WRR,WRR,WRR
XEN,XEN,XEN,XEN
XRS,XRS,XRS,XRS
YEA,YEA,YEA,YEA
ZAAC,2260,2260,ZAAC
ZAMM,2233,2233,ZAMM
ZOO,ZOO,ZOO,ZOO
ZSC,ZSC,ZSC,ZSC
ZOJ,ZOJ,ZOJ,ZOJ
ZPH,ZPH,ZPH,ZPH
JLB,JLB,JLB,JLB
IMCB,IMCB,IMCB,IMCB
HPJA,HPJA,HPJA,HPJA
JPEN,JPEN,JPEN,JPEN
CCHE,CCHE,CCHE,CCHE
JCPY,JCPY,JCPY,JCPY
BSD2,BSD2,BSD2,BSD2
NAFM,NAFM,NAFM,NAFM
NCP,NCP,NCP,NCP
TAFS,TAFS,TAFS,TAFS
TSM2,TSM2,TSM2,TSM2
JPER,JPER,JPER,JPER
AWWA,AWWA,AWWA,AWWA
LIPD,LIPD,LIPD,LIPD
CNR2,CNR2,CNR2,CNR2
E772,E772,E772,E772
ZYGO,ZYGO,ZYGO,ZYGO
,ADEM,ADEM,ADEM
,ADFM,ADFM,ADFM
,ANIE,ANIE,ANIE
,CBDV,CBDV,CBDV
,CBIC,CBIC,CBIC
,CCTC,CCTC,CCTC
,CHEM,CHEM,CHEM
,CMDC,CMDC,CMDC
,CPHC,CPHC,CPHC
,CPPH,CPPH,CPPH
,CSSC,CSSC,CSSC
,DESC,DESC,DESC
,EJIC,EJIC,EJIC
,EJOC,EJOC,EJOC
,ELAN,ELAN,ELAN
,ELPS,ELPS,ELPS
,FEB2,FEB2,FEB2
,FSB2,FSB2,FSB2
,HLCA,HLCA,HLCA
,JEQ2,JEQ2,JEQ2
,JOBM,JOBM,JOBM
,MABI,MABI,MABI
,MTK,MTK,MTK
,PCR2,PCR2,PCR2
,PSSB,PSSB,PSSB
,SLCT,SLCT,SLCT
,SOLR,SOLR,SOLR
,ZAAC,ZAAC,ZAAC
,CELC,CELC,CELC
,ADMA,ADMA,ADMA
,ADMI,ADMI,ADMI
,ADSU,ADSU,ADSU
,AHM,AHM,AHM
,EJI,EJI,EJI
,JSSC,JSSC,JSSC
,MACO,MACO,MACO
,MARC,MARC,MARC
,MNFR,MNFR,MNFR
,PSSA,PSSA,PSSA
,SMLL,SMLL,SMLL
,SRIN,SRIN,SRIN
,ADMT,ADMT,ADMT
,JOOM,JOOM,JOOM
,ERE,ERE,ERE
,ADTP,ADTP,ADTP
,ADTS,ADTS,ADTS
,JLCR,JLCR,JLCR
,CEAT,CEAT,CEAT
,BDR2,BDR2,BDR2
,SYST,SYST,SYST
,ADOM,ADOM,ADOM
,IJOP,IJOP,IJOP
,THT3,THT3,THT3
,SPY2,SPY2,SPY2
,TAX,TAX,TAX
,AELM,AELM,AELM
,EMBR,EMBR,EMBR
,PPSC,PPSC,PPSC
,FFO2,FFO2,FFO2
,WER,WER,WER
,SPP2,SPP2,SPP2
,JPLN,JPLN,JPLN
,BIES,BIES,BIES
,ALZ,ALZ,ALZ
,ENTE,ENTE,ENTE
,ACPS,ACPS,ACPS
,CSC2,CSC2,CSC2
,CURJ,CURJ,CURJ
,PMRJ,PMRJ,PMRJ
,JLMS,JLMS,JLMS
,CGF,CGF,CGF
,PMIC,PMIC,PMIC
,BATT,BATT,BATT
,MPO,MPO,MPO
,FUCE,FUCE,FUCE
,JCPH,JCPH,JCPH
,CTPP,CTPP,CTPP
,ADBI,ADBI,ADBI
,BIMJ,BIMJ,BIMJ
,STR,STR,STR
,JTS5,JTS5,JTS5
,PRCA,PRCA,PRCA
,PSSR,PSSR,PSSR
,CPTC,CPTC,CPTC
,STCO,STCO,STCO
,VETR,VETR,VETR
,EMBJ,EMBJ,EMBJ
,ITL2,ITL2,ITL2
,RDS,RDS,RDS
,ASIA,ASIA,ASIA
,AENM,AENM,AENM
,ACG2,ACG2,ACG2
,ADSC,ADSC,ADSC
,AET2,AET2,AET2
,AJAE,AJAE,AJAE
,AJOC,AJOC,AJOC
,AJUM,AJUM,AJUM
,AMP2,AMP2,AMP2
,ANR3,ANR3,ANR3
,AYF,AYF,AYF
,BIOT,BIOT,BIOT
,CAPR,CAPR,CAPR
,CAV,CAV,CAV
,CNMA,CNMA,CNMA
,CPCB,CPCB,CPCB
,CPLU,CPLU,CPLU
,CPMC,CPMC,CPMC
,CPPS,CPPS,CPPS
,CPSC,CPSC,CPSC
,CPTX,CPTX,CPTX
,DNEU,DNEU,DNEU
,EPA2,EPA2,EPA2
,GAMM,GAMM,GAMM
,GGGE,GGGE,GGGE
,GHG,GHG,GHG
,IJCH,IJCH,IJCH
,IJGO,IJGO,IJGO
,JAWR,JAWR,JAWR
,JBIO,JBIO,JBIO
,JDD,JDD,JDD
,JGC4,JGC4,JGC4
,JIMD,JIMD,JIMD
,LPOR,LPOR,LPOR
,MACP,MACP,MACP
,MAME,MAME,MAME
,MANA,MANA,MANA
,MATS,MATS,MATS
,MDP2,MDP2,MDP2
,MDS3,MDS3,MDS3
,MEN,MEN,MEN
,MJA2,MJA2,MJA2
,NAPA,NAPA,NAPA
,NSG,NSG,NSG
,ONCO,ONCO,ONCO
,PAM,PAM,PAM
,PEP2,PEP2,PEP2
,PLMS,PLMS,PLMS
,PPAP,PPAP,PPAP
,PREP,PREP,PREP
,PROP,PROP,PROP
,QUTE,QUTE,QUTE
,SMTD,SMTD,SMTD
,TCR,TCR,TCR
,TOPO,TOPO,TOPO
,WFS2,WFS2,WFS2
,STAR,STAR,STAR
,CPNS,CPNS,CPNS
,ETT,ETT,ETT
,CPZ1,CPZ1,CPZ1
,SGP2,SGP2,SGP2
,VRC2,VRC2,VRC2
,SSTR,SSTR,SSTR
,ISD2,ISD2,ISD2
,BJR,BJR,BJR
,RFE,RFE,RFE
,AGJ2,AGJ2,AGJ2
,CPBI,CPBI,CPBI
,JDN,JDN,JDN
,CITE,CITE,CITE
,E707,E707,E707
,E706,E706,E706
,E767,E767,E767
,E298,E298,E298
,E820,E820,E820
,E769,E769,E769
,E343,E343,E343
,E313,E313,E313
,AJMB,AJMB,AJMB
,E811,E811,E811
,2031,2031,2031
,E768,E768,E768
,E570,E570,E570
,E403,E403,E403
,CPIM,CPIM,CPIM
,CPMO,CPMO,CPMO
,CPPB,CPPB,CPPB
,CYTB,CYTB,CYTB
,EST2,EST2,EST2
,HBE2,HBE2,HBE2
,JBMB,JBMB,JBMB
,JEZB,JEZB,JEZB
,POL,POL,POL
,2012,2012,2012
,2022,2022,2022
,POPE,POPE,POPE
,2130,2130,2130
,E770,E770,E770
,2084,2084,2084
,SRBS,SRBS,SRBS
,SAJ2,SAJ2,SAJ2
,E774,E774,E774
,AEPP,AEPP,AEPP
,CPNC,CPNC,CPNC
,E555,E555,E555
,E506,E506,E506
,FEA2,FEA2,FEA2
,E771,E771,E771
,DMFR,DMFR,DMFR
,WFP2,WFP2,WFP2
